,city_ascii,lat,lng,admin_name,population
5128,Akishima,35.7057,139.3535,Tokyo,112110.0
5134,Konosu,36.0659,139.5222,Saitama,116777.0
5144,Aizuwakamatsu,37.4948,139.9298,Fukushima,117924.0
5156,Nobeoka,32.5833,131.6667,Miyazaki,117711.0
5176,Fujimi,35.8566,139.5492,Saitama,111858.0
5203,Beppu,33.2795,131.5,Oita,115992.0
5207,Shibuya,35.6536,139.7092,Tokyo,102056.0
5234,Karatsu,33.45,129.9667,Saga,116052.0
5255,Nasushiobara,36.9617,140.0461,Tochigi,115602.0
5256,Tokai,35.0231,136.9022,Aichi,113144.0
5266,Koencho,43.8028,143.8944,Hokkaido,115441.0
5268,Niihama,33.9667,133.2833,Ehime,114971.0
5279,Sano,36.3145,139.5783,Tochigi,114842.0
5288,Hatsukaichi,34.35,132.3333,Hiroshima,114699.0
5303,Kamagaya,35.7768,140.0008,Chiba,109370.0
5317,Kakegawa,34.7687,137.9984,Shizuoka,113954.0
5331,Nagahama,35.3833,136.2833,Shiga,113740.0
5338,Hofu,34.05,131.5667,Yamaguchi,113170.0
5339,Hikone,35.2667,136.2667,Shiga,113191.0
5379,Otaru,43.1907,140.9944,Hokkaido,112452.0
5384,Higashiomi,35.1167,136.2,Shiga,112459.0
5394,Oshu,39.1445,141.1391,Iwate,112402.0
5397,Habikino,34.55,135.6,Osaka,108373.0
5426,Ichinoseki,38.9347,141.1266,Iwate,111824.0
5448,Tondabayashicho,34.5,135.6,Osaka,108735.0
5450,Kazo,36.1314,139.6018,Saitama,110622.0
5453,Omuta,33.0333,130.45,Fukuoka,110054.0
5501,Shirayamamachi,36.5166,136.5656,Ishikawa,110135.0
5508,Marugame,34.2833,133.8,Kagawa,109165.0
5529,Sandacho,34.8833,135.2333,Hyogo,109243.0
5555,Mineshita,35.1185,138.9186,Shizuoka,107416.0
5569,Ikeda,34.8167,135.4333,Hyogo,104148.0
5608,Tajimi,35.3328,137.1316,Gifu,106746.0
5680,Komatsu,36.4083,136.4455,Ishikawa,106023.0
5701,Kiryu,36.4052,139.4973,Gunma,105465.0
5723,Toride,35.9115,140.0504,Ibaraki,103908.0
5724,Onojo,33.5333,130.4833,Fukuoka,101603.0
5771,Inzai,35.8333,140.15,Chiba,103677.0
5781,Chikushino,33.5,130.5167,Fukuoka,103185.0
5785,Ginowan,26.2817,127.7783,Okinawa,99256.0
5803,Saijo,33.9167,133.1833,Ehime,103760.0
5804,Isehara,35.3833,139.3,Kanagawa,102088.0
5842,Sakado,35.9573,139.403,Saitama,100829.0
5930,Kawachinagano,34.4667,135.5667,Osaka,100415.0
5938,Kanoya,31.3831,130.8519,Kagoshima,100880.0
5960,Konan,35.3321,136.8707,Aichi,97435.0
5996,Ashiya,34.7278,135.3033,Hyogo,94116.0
6009,Yashio,35.8225,139.8392,Saitama,93283.0
6017,Inagi,35.6379,139.5046,Tokyo,92604.0
6037,Komae,35.6348,139.5787,Tokyo,83677.0
6052,Yotsukaido,35.6698,140.1679,Chiba,93233.0
6063,Nisshin,35.132,137.0394,Aichi,92823.0
6065,Obu,35.0117,136.9637,Aichi,92562.0
6115,Settsu,34.7772,135.5622,Osaka,86168.0
6118,Wako,35.7812,139.6057,Saitama,84120.0
6133,Ama,35.2004,136.7832,Aichi,87668.0
6137,Kitanagoya,35.2456,136.8659,Aichi,86060.0
6146,Higashiyamato,35.7454,139.4265,Saitama,84260.0
6161,Warabi,35.8256,139.6797,Saitama,74996.0
6164,Takasagocho-takasemachi,34.7667,134.7833,Hyogo,87220.0
6189,Ayase,35.4333,139.4333,Kanagawa,84257.0
6226,Owariasahi,35.2165,137.0354,Aichi,82336.0
6258,Nagaoka,34.9333,135.7,Kyoto,80423.0
6263,Kunitachi,35.6839,139.4414,Tokyo,75133.0
6282,Shinkai,35.8367,139.5803,Saitama,75247.0
6297,Kiyose,35.7857,139.5265,Saitama,75389.0
6324,Kashiba,34.5333,135.7,Nara,78346.0
6359,Izumiotsu,34.5,135.4,Osaka,74175.0
6382,Katano,34.7833,135.6833,Osaka,76002.0
6423,Okegawa,36.0057,139.5427,Saitama,74115.0
6435,Joyo,34.8531,135.78,Kyoto,74356.0
6443,Chiryu,35.0014,137.0506,Aichi,71907.0
6454,Musashimurayama,35.7548,139.3874,Tokyo,71183.0
6473,Kiyosu,35.1998,136.8529,Aichi,69809.0
6476,Dazaifu,33.5167,130.5167,Fukuoka,72430.0
6486,Hekinan,34.8847,136.9934,Aichi,72480.0
6487,Yoshikawa,35.8939,139.8414,Saitama,72139.0
6497,Tsurugashima,35.9345,139.3931,Saitama,70067.0
6518,Yawata-shimizui,34.8667,135.7,Kyoto,70373.0
6531,Chiyoda-ku,35.694,139.7536,Tokyo,67036.0
6540,Toyoake,35.0509,137.0128,Aichi,69389.0
6578,Hatogaya-honcho,35.8267,139.7412,Saitama,61379.0
6600,Fujiidera,34.5667,135.6,Osaka,63338.0
6602,Kashiwara,34.5833,135.6333,Osaka,67757.0
6648,Kitamoto,36.0269,139.5302,Saitama,65191.0
6661,Tomigusuku,26.1611,127.6689,Okinawa,64850.0
6752,Nagakute,35.184,137.0487,Aichi,62473.0
6762,Tagajo,38.2938,141.0043,Miyagi,61937.0
6777,Yamatotakada,34.5167,135.7333,Nara,60791.0
6795,Hasuda,35.9945,139.6624,Saitama,61473.0
6800,Osakasayama,34.5,135.55,Osaka,58593.0
6803,Mukocho,34.95,135.7,Kyoto,56152.0
6807,Tsushima,35.1771,136.7413,Aichi,60908.0
6836,Fussa,35.7333,139.3333,Tokyo,56713.0
